Mint Name	Country	Location	From	To	Coins Produced
Rarities Mint	United States	Anaheim, California	1987	1995	
Rearden Metals	Singapore	Singapore	2018	2020	3
Reischauer	Germany	Idar-Oberstein, Rhineland-Palatinate	1913		7
Reu	Germany	Heubach, Baden-Wuerttemberg	1901		1
Royal Australian Mint	Australia	Canberra, ACT	1963		1,412
Royal Canadian Mint	Canada	Ottawa, ON	1908		453
Royal Mint	United Kingdom	Llantrisant, Wales	886		6,293
Scottsdale Mint	United States	Scottsdale, Arizona	2005		386
Seville Mint	Spain	Seville	1252	1869	10
Shanghai New Century	China	Shanghai	1995		10
SilverTowne Mint	United States	Winchester, Indiana	1949		41
Singapore Mint	Singapore	Singapore	1968		59
SK Bullion	Singapore	Singapore	2016	2018	1
Smith and Wright	United Kingdom	Birmingham, England	1790	1965	
Soho Mint	United Kingdom	Handsworth, West Midlands	1788	1850	15
South African Mint	South Africa	Centurion, Gauteng Province	1923		851
Staatliche Münze Berlin	Germany	Berlin	1750		322
Staatliche Münzen Baden-Württemberg	Germany	Karlsruhe and Stuttgart	1998		443
St Paul's Mint	United Kingdom	Birmingham	2003		1
Strasbourg Mint	France	Strasbourg	962	1870	7
Stuttgart Mint	Germany	Stuttgart	1374	1998	366
Sunshine Minting	United States	Coeur d’Alene, Idaho	1979		102
Suomen Rahapaja (Mint of Finland)	Finland	Vantaa	1860		16
Surabaya Mint	Netherlands East Indies	Surabaya	1805	1843	
Swissmint	Switzerland	Bern	1853		1,159
Sydney Mint	Australia	Sydney, NSW	1854	1926	161
The Coin Company	Australia	Perth, WA	2017		54
Tower Mint (modern)	United Kingdom	London	1976		19
UGDO	Switzerland	Geneva	1875	1986	5
United States Mint, Carson City	United States	Carson City, Nevada	1863	1893	18
United States Mint, Charlotte	United States	Charlotte, North Carolina	1835	1861	
United States Mint, Dahlonega	United States	Dahlonega, Georgia	1835	1861	
United States Mint, Denver	United States	Denver, Colorado	1906		529
United States Mint, Manila	Philippines	Manila	1898	1946	
United States Mint, New Orleans	United States	New Orleans, Louisiana	1838	1909	93
United States Mint, Philadelphia	United States	Philadelphia, Pennsylvania	1792		1,252
United States Mint, San Francisco	United States	San Francisco, California	1854		605
United States Mint, Washington	United States	Washington D.C.	1792		
United States Mint, West Point	United States	West Point, New York	1937		87
(unknown mint)	- Other -	(unknown)	1900		3
Valcambi	Switzerland	Balerna	1961		12
Venice Mint	Venice	Venice	840	1796	
Victorian Mint	Australia	Melbourne, Victoria	2016		1
Windsor Mint	United Kingdom	Worcester	2010		2
Zavod za izradu novčanica i kovanog novca Topčider	Serbia	Belgrade	1929		4
Монетен двор (Bulgarian Mint)	Bulgaria	Sofia	1952		159
Московский монетный двор (Moscow Mint)	Russia	Moscow	1942		16
Санкт-Петербургский монетный двор (Saint Petersburg Mint)	Russia	Saint Petersburg	1724		72
สำนักกษาปณ์ (Royal Thai Mint)	Thailand	Pathum Thani	1860		
上海造币有限公司 (CBPMC - Shanghai Mint)	China	Shanghai	1984		3
中国印钞造币总公司 (China Banknote Printing and Minting Corporation)	China	Beijing	1984		
中央造幣廠 (Central Mint of Taiwan)	Taiwan	Guishan, Taoyuan	1920		
南京造币有限公司 (CBPMC - Nanjing Mint)	China	Nanjing, Jiangsu	1984		
沈阳造币有限公司 (CBPMC - Shenyang Mint)	China	Shenyang	1984		68
独立行政法人 造幣局 (Japan Mint)	Japan	Osaka	1871		
